"","Condition","Sex","prop_bound_bac"
"1","Control","Female",11.5
"2","Control","Female",15.5
"3","Control","Female",13.9
"4","Control","Female",15.6
"5","Control","Female",5.47
"6","Control","Female",17
"7","Control","Female",3.86
"8","Control","Female",4.38
"9","Stress","Female",14.8
"10","Stress","Female",17
"11","Stress","Female",18.5
"12","Stress","Female",22.6
"13","Stress","Female",39
"14","Stress","Female",26
"15","Stress","Female",31.7
"16","Stress","Female",20.9
"17","Control","Male",14.3
"18","Control","Male",11
"19","Control","Male",19.7
"20","Control","Male",12.4
"21","Control","Male",8.52
"22","Control","Male",12.1
"23","Control","Male",7.96
"24","Control","Male",27.4
"25","Stress","Male",18.6
"26","Stress","Male",39.7
"27","Stress","Male",19
"28","Stress","Male",17.1
"29","Stress","Male",17.4
"30","Stress","Male",25.8
"31","Stress","Male",6.09
"32","Stress","Male",15
